299.00	9.0000	0.88153246701922E+00   0.20242354423793E+01   0.35986200019877E-07
308.00	9.5000	0.88252936667870E+00   0.20228610048994E+01   0.34713430019373E-07
318.00	10.000	0.88217753167661E+00   0.20225015788882E+01   0.33912890051724E-07
328.00	10.500	0.88294412128073E+00   0.20118286210192E+01   0.33346590044836E-07
339.00	11.500	0.88403703148324E+00   0.20170038044637E+01   0.31691840041148E-07
351.00	17.500	0.88303415138403E+00   0.20253556180464E+01   0.30709150000696E-07
374.00	27.000	0.88472135418632E+00   0.20145333580147E+01   0.29085040043064E-07
405.00	33.000	0.88615826680579E+00   0.20333764721242E+01   0.33700370050127E-07
440.00	32.500	0.88533953392000E+00   0.20365654697066E+01   0.79782579986976E-07
470.00	25.000	0.88777372545492E+00   0.20309161276027E+01   0.22249425002396E-06
490.00	25.000	0.88738612277876E+00   0.20280898456609E+01   0.45343803001252E-06
520.00	36.500	0.88720452449192E+00   0.20269566368929E+01   0.11128715099451E-05
563.00	38.500	0.88423762211895E+00   0.20253620090525E+01   0.30905244799984E-05
597.00	26.500	0.88750932540414E+00   0.20452930486845E+01   0.51763267600036E-05
616.00	27.500	0.88846140173814E+00   0.20130215580862E+01   0.68378640499800E-05
652.00	38.000	0.88473063952328E+00   0.20210806317014E+01   0.12923515970042E-04
692.00	43.000	0.88599025037822E+00   0.20242214957073E+01   0.19571104269978E-04
738.00	49.500	0.88712277500435E+00   0.20357297258667E+01   0.35228113409946E-04
791.00	36.000	0.88678274384186E+00   0.20469116521103E+01   0.81660008079965E-04
810.00	19.500	0.88794009335170E+00   0.20553645799058E+01   0.92516004290055E-04
830.00	20.500	0.89041104524175E+00   0.20521384181172E+01   0.92007638279989E-04
851.00	22.000	0.88789369943194E+00   0.20622641245462E+01   0.11722329428998E-03
874.00	23.000	0.88940627140025E+00   0.20630019874350E+01   0.17836393086001E-03
897.00	20.500	0.88816378465756E+00   0.20634909357223E+01   0.24407132696003E-03
915.00	15.000	0.88619099573780E+00   0.20296968819887E+01   0.27630347589003E-03
927.00	12.000	0.88979572884105E+00   0.20599296622911E+01   0.28800582882005E-03
939.00	12.500	0.88325139213793E+00   0.20205860856055E+01   0.33256682205995E-03
952.00	12.500	0.88602761982868E+00   0.20722474415291E+01   0.40744685339000E-03
964.00	16.500	0.88321151773125E+00   0.20253901058502E+01   0.51322607745996E-03
985.00	23.500	0.88669898142207E+00   0.20694149812742E+01   0.66106940983002E-03
1011.0	21.500	0.88850228602553E+00   0.20714434382338E+01   0.10623955653301E-02
1028.0	13.500	0.88745921449537E+00   0.20097020835181E+01   0.12092734466600E-02
1038.0	13.500	0.89001615145103E+00   0.20414913942223E+01   0.11950990561300E-02
1055.0	20.000	0.88998064366643E+00   0.20356264131010E+01   0.10440098137700E-02
1078.0	20.000	0.88521313727431E+00   0.20822890467072E+01   0.10339870386600E-02
1095.0	14.500	0.88547106488297E+00   0.20299332918755E+01   0.85424009344004E-03
1107.0	12.500	0.88783044953595E+00   0.20275791816889E+01   0.85797331099002E-03
1120.0	13.000	0.88995657732561E+00   0.20715034219117E+01   0.85879768057995E-03
1133.0	13.000	0.88181881712990E+00   0.20383953657682E+01   0.11245145915100E-02
1146.0	13.000	0.88615802936763E+00   0.20323806481511E+01   0.10901523503900E-02
1159.0	13.000	0.89018155742378E+00   0.20734137449276E+01   0.13449325378200E-02
1172.0	13.500	0.88952421429181E+00   0.20385592161091E+01   0.18234081740500E-02
1186.0	14.500	0.88630904397704E+00   0.20234652905323E+01   0.43298245498200E-02
